ts,avg_temp_c,faults
2026-09-18T13:20:00Z,22.0,0
2026-09-18T14:20:00Z,22.0,0
2026-09-18T15:20:00Z,22.0,0
2026-09-18T16:20:00Z,22.5,0
2026-09-18T17:20:00Z,22.6,0
2026-09-18T18:20:00Z,22.4,0
2026-09-18T19:20:00Z,22.0,0
2026-09-18T20:20:00Z,21.7,0
2026-09-18T21:20:00Z,21.3,0
2026-09-18T22:20:00Z,21.1,0
2026-09-18T23:20:00Z,20.7,1
2026-09-19T00:20:00Z,20.7,0
2026-09-19T01:20:00Z,20.7,1
2026-09-19T02:20:00Z,18.2,0
2026-09-19T03:20:00Z,20.5,0
2026-09-19T04:20:00Z,20.2,0
2026-09-19T05:20:00Z,20.5,1
2026-09-19T06:20:00Z,,0
2026-09-19T07:20:00Z,20.5,0
2026-09-19T08:20:00Z,21.5,0
2026-09-19T09:20:00Z,22.1,1
2026-09-19T10:20:00Z,21.8,0
2026-09-19T11:20:00Z,22.6,0
2026-09-19T12:20:00Z,22.0,0
2026-09-19T13:20:00Z,21.9,0
2026-09-19T14:20:00Z,22.9,0
2026-09-19T15:20:00Z,22.5,0
2026-09-19T16:20:00Z,22.8,0
2026-09-19T17:20:00Z,22.3,0
2026-09-19T18:20:00Z,22.2,0
2026-09-19T19:20:00Z,22.1,0
2026-09-19T20:20:00Z,21.8,0
2026-09-19T21:20:00Z,21.2,0
2026-09-19T22:20:00Z,21.4,0
2026-09-19T23:20:00Z,21.0,0
2026-09-20T00:20:00Z,20.5,0
2026-09-20T01:20:00Z,20.4,0
2026-09-20T02:20:00Z,18.3,0
2026-09-20T03:20:00Z,20.2,0
2026-09-20T04:20:00Z,20.2,0
2026-09-20T05:20:00Z,20.5,0
2026-09-20T06:20:00Z,20.3,0
2026-09-20T07:20:00Z,20.7,0
